DATE,value,element,STATION_ID
2012-12-10,0.0,PRCP,US1TXDA0027
2012-12-11,0.0,PRCP,US1TXDA0027
2012-12-12,0.0,PRCP,US1TXDA0027
2012-12-13,0.0,PRCP,US1TXDA0027
2012-12-14,0.0,PRCP,US1TXDA0027
2012-12-15,17.3,PRCP,US1TXDA0027
2012-12-16,0.0,PRCP,US1TXDA0027
2012-12-17,0.0,PRCP,US1TXDA0027
2012-12-18,0.0,PRCP,US1TXDA0027
2012-12-19,0.0,PRCP,US1TXDA0027
2012-12-20,7.6,PRCP,US1TXDA0027
2012-12-21,0.0,PRCP,US1TXDA0027
2012-12-22,0.0,PRCP,US1TXDA0027
2012-12-23,0.0,PRCP,US1TXDA0027
2012-12-24,0.0,PRCP,US1TXDA0027
2012-12-25,0.0,PRCP,US1TXDA0027
2012-12-26,35.3,PRCP,US1TXDA0027
2012-12-27,0.0,PRCP,US1TXDA0027
2012-12-28,0.0,PRCP,US1TXDA0027
2012-12-29,0.0,PRCP,US1TXDA0027
2012-12-30,0.0,PRCP,US1TXDA0027
2012-12-31,0.5,PRCP,US1TXDA0027
2012-12-01,0.0,SNOW,US1TXDA0027
2012-12-02,0.0,SNOW,US1TXDA0027
2012-12-03,0.0,SNOW,US1TXDA0027
2012-12-04,0.0,SNOW,US1TXDA0027
2012-12-05,0.0,SNOW,US1TXDA0027
2012-12-06,0.0,SNOW,US1TXDA0027
2012-12-07,0.0,SNOW,US1TXDA0027
2012-12-08,0.0,SNOW,US1TXDA0027
2012-12-09,0.0,SNOW,US1TXDA0027
2012-12-11,0.0,SNOW,US1TXDA0027
2012-12-12,0.0,SNOW,US1TXDA0027
2012-12-13,0.0,SNOW,US1TXDA0027
2012-12-14,0.0,SNOW,US1TXDA0027
2012-12-16,0.0,SNOW,US1TXDA0027
2012-12-17,0.0,SNOW,US1TXDA0027
2012-12-18,0.0,SNOW,US1TXDA0027
2012-12-19,0.0,SNOW,US1TXDA0027
2012-12-21,0.0,SNOW,US1TXDA0027
2012-12-22,0.0,SNOW,US1TXDA0027
2012-12-23,0.0,SNOW,US1TXDA0027
2012-12-24,0.0,SNOW,US1TXDA0027
2012-12-25,0.0,SNOW,US1TXDA0027
2012-12-27,0.0,SNOW,US1TXDA0027
2012-12-28,0.0,SNOW,US1TXDA0027
2012-12-29,0.0,SNOW,US1TXDA0027
2012-12-30,0.0,SNOW,US1TXDA0027
2013-01-01,7.1,PRCP,US1TXDA0027
2013-01-02,0.0,PRCP,US1TXDA0027
2013-01-03,0.0,PRCP,US1TXDA0027
2013-01-04,0.0,PRCP,US1TXDA0027
2013-01-05,0.0,PRCP,US1TXDA0027
2013-01-06,0.0,PRCP,US1TXDA0027
2013-01-07,0.0,PRCP,US1TXDA0027
2013-01-08,0.0,PRCP,US1TXDA0027
2013-01-09,45.2,PRCP,US1TXDA0027
2013-01-10,18.0,PRCP,US1TXDA0027
2013-01-11,0.0,PRCP,US1TXDA0027
2013-01-12,0.0,PRCP,US1TXDA0027
2013-01-16,0.0,PRCP,US1TXDA0027
2013-01-17,0.0,PRCP,US1TXDA0027
2013-01-18,0.0,PRCP,US1TXDA0027
2013-01-19,0.0,PRCP,US1TXDA0027
2013-01-20,0.0,PRCP,US1TXDA0027
2013-01-21,0.0,PRCP,US1TXDA0027
2013-01-22,0.0,PRCP,US1TXDA0027
2013-01-23,0.0,PRCP,US1TXDA0027
2013-01-24,0.0,PRCP,US1TXDA0027
2013-01-25,0.0,PRCP,US1TXDA0027
2013-01-26,0.0,PRCP,US1TXDA0027
2013-01-27,0.0,PRCP,US1TXDA0027
2013-01-28,0.0,PRCP,US1TXDA0027
2013-01-29,0.0,PRCP,US1TXDA0027
2013-01-30,7.6,PRCP,US1TXDA0027
2013-01-31,0.0,PRCP,US1TXDA0027
2013-01-02,0.0,SNOW,US1TXDA0027
2013-01-03,0.0,SNOW,US1TXDA0027
2013-01-04,0.0,SNOW,US1TXDA0027
2013-01-05,0.0,SNOW,US1TXDA0027
2013-01-06,0.0,SNOW,US1TXDA0027
2013-01-07,0.0,SNOW,US1TXDA0027
2013-01-08,0.0,SNOW,US1TXDA0027
2013-01-11,0.0,SNOW,US1TXDA0027
2013-01-12,0.0,SNOW,US1TXDA0027
2013-01-16,0.0,SNOW,US1TXDA0027
2013-01-17,0.0,SNOW,US1TXDA0027
2013-01-18,0.0,SNOW,US1TXDA0027
2013-01-19,0.0,SNOW,US1TXDA0027
2013-01-20,0.0,SNOW,US1TXDA0027
2013-01-21,0.0,SNOW,US1TXDA0027
2013-01-22,0.0,SNOW,US1TXDA0027
2013-01-23,0.0,SNOW,US1TXDA0027
2013-01-24,0.0,SNOW,US1TXDA0027
2013-01-25,0.0,SNOW,US1TXDA0027
2013-01-26,0.0,SNOW,US1TXDA0027
2013-01-27,0.0,SNOW,US1TXDA0027
2013-01-28,0.0,SNOW,US1TXDA0027
2013-01-29,0.0,SNOW,US1TXDA0027
2013-01-31,0.0,SNOW,US1TXDA0027
2013-01-15,25.0,SNWD,US1TXDA0027
2013-01-15,3.0,DAPR,US1TXDA0027
2013-01-15,140.0,MDPR,US1TXDA0027
2013-01-15,140.0,WESD,US1TXDA0027
2013-02-01,0.0,PRCP,US1TXDA0027
2013-02-02,0.0,PRCP,US1TXDA0027
2013-02-03,0.0,PRCP,US1TXDA0027
2013-02-04,0.0,PRCP,US1TXDA0027
2013-02-05,0.0,PRCP,US1TXDA0027
2013-02-06,0.0,PRCP,US1TXDA0027
2013-02-07,0.0,PRCP,US1TXDA0027
2013-02-08,0.0,PRCP,US1TXDA0027
2013-02-09,0.0,PRCP,US1TXDA0027
2013-02-10,22.9,PRCP,US1TXDA0027
2013-02-01,0.0,SNOW,US1TXDA0027
2013-02-02,0.0,SNOW,US1TXDA0027
2013-02-03,0.0,SNOW,US1TXDA0027
2013-02-04,0.0,SNOW,US1TXDA0027
2013-02-05,0.0,SNOW,US1TXDA0027
2013-02-06,0.0,SNOW,US1TXDA0027
2013-02-07,0.0,SNOW,US1TXDA0027
2013-02-08,0.0,SNOW,US1TXDA0027
2013-02-09,0.0,SNOW,US1TXDA0027
2014-11-01,0.0,PRCP,US1TXDA0027
2014-11-02,0.0,PRCP,US1TXDA0027
2014-11-03,0.0,PRCP,US1TXDA0027
2014-11-01,0.0,SNOW,US1TXDA0027
2014-11-02,0.0,SNOW,US1TXDA0027
2014-11-03,0.0,SNOW,US1TXDA0027
